subject,datestamp,timestamp,version,pur1,pur2,pur3,id
A2W1B07YBSBFBQ_m3r5,2014-08-19,17:49:02,lossave_moral,6,6,3,566
A2IY4Z79FRNF7N_m3r5,2014-08-19,17:49:15,lossave_moral,5,5,2,567
A30RP0VO7WACHI_m3r5,2014-08-19,17:50:22,lossave_moral,2,1,1,568
A10CK23E76BWV6_m3r5,2014-08-19,17:51:01,lossave_moral,5,7,2,569
a36t25vuszlifo_m3r5,2014-08-19,17:55:04,lossave_moral,7,7,5,570
A39VNH5NY0C54T_m3r5,2014-08-19,17:57:25,lossave_moral,6,7,6,571
AVRED1AI0MTSU_m3r5,2014-08-19,17:57:49,lossave_moral,7,1,1,572
A1TCEAVYT9RXBP_m3r5,2014-08-19,17:58:34,lossave_moral,5,5,5,573
AAKL8L5X64LWD_m3r5,2014-08-19,17:59:30,lossave_moral,5,3,4,574
AGW9M2B6SRZQ8_m3r5,2014-08-19,18:02:39,lossave_moral,7,7,7,575
A1US9EJYVBJG4E_m3r5,2014-08-19,18:03:14,lossave_moral,6,6,4,576
A27YJ0L7WMD5G4_m3r5,2014-08-19,18:08:59,lossave_moral,7,7,7,577
ASXACVODSYD7G_m3r5,2014-08-19,18:09:39,lossave_moral,5,2,3,578
A2UF2FRGVW4T89_m3r5,2014-08-19,18:11:50,lossave_moral,7,7,1,579
A3MHYBS6PHJ5QG_m3r5,2014-08-19,18:22:22,lossave_moral,4,6,2,580
"A350C6KKI33T7R _m3r5",2014-08-19,18:23:06,lossave_moral,7,7,7,581
A2EHH2ZFIRF1BF_m3r5,2014-08-19,18:23:42,lossave_moral,7,1,7,582
A3UC45GKCAZ7ZU_m3r5,2014-08-19,18:32:10,lossave_moral,7,6,4,583
AAE2Y3VOJRZVQ_m3r5,2014-08-19,18:34:21,lossave_moral,4,5,3,584
A2WF8JGMNB4UEN_m3r5,2014-08-19,18:34:35,lossave_moral,3,5,2,585
A3JF9SCAXEUCAM_m3r5,2014-08-19,18:36:38,lossave_moral,7,7,2,586
"A2XVOYY8BDEZXF _m3r5",2014-08-19,18:40:35,lossave_moral,1,7,7,587
A3M6I7O4VW9KR1_m3r5,2014-08-19,18:42:46,lossave_moral,7,7,1,588
A36CA84QRHPL2Z_m3r5,2014-08-19,18:55:46,lossave_moral,4,5,1,589
A1VZSFHTU51JP0_m3r5,2014-08-19,18:56:46,lossave_moral,4,7,1,590
A1HO3Z29A3N7K5_m3r5,2014-08-19,19:01:39,lossave_moral,4,4,3,591
A10NAKQZQ4I9NH_m3r5,2014-08-19,19:03:10,lossave_moral,1,1,1,592
A38OV1V7A6UY46_m3r5,2014-08-19,19:03:22,lossave_moral,7,7,6,593
A01435663OC65K250L63L_m3r5,2014-08-19,19:04:31,lossave_moral,7,7,7,594
A14SDJ3ZSGV0FZ_m3r5,2014-08-19,19:04:31,lossave_moral,7,7,6,595
A123LX5DHYV18C_m3r5,2014-08-19,19:12:10,lossave_moral,4,3,1,596
